#,Year,Mean Temp (°C),Tanon
1,2010,9.1,1.4
2,2009,10,2.3
3,2008,10.2,2.5
4,2007,6.6,-1.1
5,2006,9.4,1.7
6,2005,7.7,0
7,2004,8.4,0.7
8,2003,9,1.3
9,2002,8.7,1
10,2001,9.9,2.2
11,2000,9,1.3
12,1999,7.6,-0.1
13,1998,7.2,-0.5
14,1997,8.3,0.6
15,1996,8.9,1.2
16,1995,7.2,-0.5
17,1994,7.3,-0.4
18,1993,6.2,-1.5
19,1992,7.3,-0.4
20,1991,9.2,1.5
21,1990,8.3,0.6
22,1989,8.6,0.9
23,1988,7.2,-0.5
24,1987,7.6,-0.1
25,1986,8.8,1.1
26,1985,8.9,1.2
27,1984,9,1.3
28,1983,7.7,0
29,1982,7.5,-0.2
30,1981,9,1.3
31,1980,7.4,-0.3
32,1979,7.5,-0.2
33,1978,5.8,-1.9
34,1977,8.1,0.4
35,1976,6,-1.7
36,1975,7.7,0
37,1974,8.6,0.9
38,1973,7.3,-0.4
39,1972,5.7,-2
40,1971,6.6,-1.1
41,1970,5.9,-1.8
42,1969,9.8,2.1
43,1968,6.3,-1.4
44,1967,7.7,0
45,1966,8.3,0.6
46,1965,8.2,0.5
47,1964,7.7,0
48,1963,6.7,-1
49,1962,6.4,-1.3
50,1961,10,2.3
51,1960,8.2,0.5
52,1959,7.1,-0.6
53,1958,7.6,-0.1
54,1957,8.9,1.2
55,1956,7.3,-0.4
56,1955,9.2,1.5
57,1954,9.9,2.2
58,1953,6.4,-1.3
59,1952,8.6,0.9
60,1951,7.7,0
61,1950,7.8,0.1
62,1949,8.3,0.6
63,1948,10.6,2.9
64,1947,7,-0.7
65,1946,7,-0.7
