#,Depth,Year,Comp01,Comp02,err1,err2,Anom
1,0.5,2006.8,8.907505905,8.178961704,0.484079589,1.857597034,0.019114075
2,1,2004,8.994568172,8.701283583,0.402325725,1.836524997,0.541435954
3,1.5,1994,8.666644329,8.157280988,0.369179276,1.829506979,-0.002566641
4,2,1983,8.718046055,8.686246483,0.405601997,1.837429412,0.526398854
5,2.5,1971,8.007444114,7.075465386,0.529758183,1.865617406,-1.084382243
6,3,1957,8.030652058,7.90362298,0.445759569,1.845173104,-0.256224649
7,3.5,1945,8.550678467,7.932508223,0.404186667,1.841134701,-0.227339406
8,4,1936,8.754563745,7.841439516,0.44585703,1.846362247,-0.318408113
9,4.5,1926,9.060846813,8.315597795,0.396740492,1.837567222,0.155750166
10,5,1916,8.548748938,7.80958995,0.541341019,1.870221835,-0.350257679
11,5.5,1907,9.044014129,8.017026345,0.445629681,1.847767479,-0.142821284
12,6,1898,9.287534174,8.659265942,0.346963016,1.82810421,0.499418313
13,8,1862,8.503293208,7.566699746,0.376208062,1.832740162,-0.593147883
14,10,1826,9.191171031,8.588921447,0.401922906,1.838980967,0.429073818
15,12,1790,9.839411285,9.856259936,0.430994001,1.845991379,1.696412307
16,15,1736,8.502881902,7.870754947,0.437609667,1.844709192,-0.289092682
17,17,1700,8.899106862,8.817450534,0.340278304,1.824169034,0.657602905
18,20,1646,7.915470447,7.489570228,0.507845939,1.859524403,-0.670277401
19,22,1610,7.496828334,7.519447646,0.516560695,1.85794594,-0.640399983
20,25,1556,8.521138402,8.443164638,0.501490139,1.852866158,0.283317009
